number of cycles = 1000000; data structure = Apache Data Sketches Java HLL4 (p = 11)
true distinct count; minimum memory size; average memory size; maximum memory size; standard deviation memory size; minimum serialization size; average serialization size; maximum serialization size; standard deviation serialization size; relative distinct count estimation bias; relative distinct count estimation rmse; estimated memory MVP; estimated serialization MVP
1; 248; 248.0; 248; 0.0; 12; 12.0; 12; 0.0; 0.0; 0.0; 0.0; 0.0
2; 248; 248.0; 248; 0.0; 16; 16.0; 16; 0.0; 2.4835269396561444E-9; 2.483526939631809E-9; 1.2237125622795848E-14; 7.894919756642483E-16
5; 248; 248.0; 248; 0.0; 28; 28.0; 28; 0.0; 9.934107580988894E-9; 9.934107581096558E-9; 1.9579400297067544E-13; 2.2105774528947226E-14
10; 344; 344.0; 344; 0.0; 52; 52.0; 52; 0.0; 2.235174250131422E-8; 2.235174250131421E-8; 1.3749002811095943E-12; 2.0783376342354333E-13
20; 344; 344.0; 344; 0.0; 92; 92.0; 92; 0.0; 4.718701305250761E-8; 4.718701305294601E-8; 6.127642280763684E-12; 1.638788051832148E-12
50; 728; 728.0; 728; 0.0; 208; 211.999956; 212; 0.013266426195475555; -9.830721988592289E-8; 6.633221996939027E-5; 2.5625386876937566E-5; 7.462336387903491E-6
100; 1240; 1240.0; 1240; 0.0; 408; 411.999872; 412; 0.022627054956401195; -7.41309275983258E-8; 5.6567713780675464E-5; 3.174306992433442E-5; 1.0546887698155509E-5
200; 1272; 1273.335152; 1384; 12.155426489304931; 1064; 1064.048; 1072; 0.4384335753566325; 8.761308041914818E-6; 0.015835490923523033; 2.5544404272415826; 2.134589014884552
500; 1272; 1275.31688; 1384; 18.986544368725973; 1064; 1064.120308; 1080; 0.694231939005978; 7.519610947453202E-6; 0.016284734453957676; 2.705636551394806; 2.257574447227813
1000; 1272; 1278.586048; 1384; 26.348839590040697; 1064; 1064.2428; 1080; 0.9871940842610434; 1.364510716144368E-5; 0.01698869974778262; 2.95216229934339; 2.4572593111133716
2000; 1272; 1284.784128; 1384; 35.614440993501724; 1064; 1064.48578; 1084; 1.3967855209730662; -5.5605009242827316E-5; 0.017433055317678317; 3.1236845263263975; 2.588075060248943
5000; 1272; 1301.393504; 1384; 49.27569756585881; 1064; 1065.217288; 1084; 2.206275124515526; -7.685187423901928E-5; 0.0188553395531969; 3.701411219559939; 3.0296810372525194
10000; 1272; 1323.08936; 1384; 55.78427748739245; 1064; 1066.433912; 1092; 3.117282209915554; -3.940939357888497E-5; 0.02068607741082224; 4.529345551891252; 3.6507342903151963
20000; 1272; 1326.261424; 1384; 55.97300557851279; 1064; 1066.707696; 1096; 3.3716414951153983; 2.4816310813497892E-5; 0.02184862640114521; 5.064859493405827; 4.07364981217659
50000; 1272; 1331.753344; 1384; 55.874076357624595; 1064; 1067.06308; 1096; 3.516558106103182; 1.977427579279465E-5; 0.02251295043510177; 5.399811672718079; 4.326581720909503
100000; 1272; 1331.799152; 1384; 55.870980339357715; 1064; 1067.063884; 1096; 3.516032826147105; -2.437260797277232E-5; 0.022744243287102214; 5.511524032070426; 4.415942322525528
200000; 1272; 1331.751104; 1384; 55.874226784638225; 1064; 1067.063776; 1096; 3.5180444314738266; -1.678524389562888E-5; 0.02286132688111644; 5.568214018075887; 4.461523972353461
500000; 1272; 1331.086496; 1384; 55.91487764845761; 1064; 1067.107428; 1096; 3.644397786303795; -2.2428934678970068E-5; 0.02289887442749508; 5.583731615359772; 4.476374375830835
1000000; 1272; 1331.047408; 1384; 55.91702159880778; 1064; 1067.104896; 1096; 3.640668733788341; -1.1595798143373734E-5; 0.022927032406506013; 5.597307941461826; 4.487379392239946
